Product,Price,Sold,Reviews,LazMall,Location,Signals
[Canon Technical Support] กล้องใหม่ กล้อง 4.8K กล้อง wifi (ได้รับ 5 ปี + เลนส์ฟรี 52 มม. x2+ การ์ดหน่วยความจํา 32G ) Wide Angle Digital Camera 4K Vlog Camcorder For YouTube,2899.0,232,69,False,Pathum Thani,"ราคาต่ำมาก, จำนวนการขายสูงแต่รีวิวต่ำ  และคำอธิบายสินค้าไม่น่าเชื่อถือ"
"Canon EOS 1100D (Kiss X50 / Rebel T3) DSLR camera Black body only Compatible with ALL Canon EF and EF-S Lenses 63 Zone Dual-Layer System / 9 Point AF, 3 fps Basic+, Quick Setting, and Creative Auto ISO 6400 12.2MP CMOS (APS-C) sensor, Canon's DIGIC 4 CPU",3900.0,0,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 1000D DSLR Black body, (Kiss F / Rebel XS), compatible lenses: Canon EF and EF-S, 10.1MP CMOS sensor, 7-point wide area AF system and up to 3fps, Auto Lighting Optimizer in action , Picture Style settings, P, Tv, Av, and Manual modes, used",3690.0,7,3,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 60D DSLR camera Body, Digital SLR Camera Black Body, 1080p HD video recording with manual controls 3.0 inch articulated Clear View LCD with 1,040,000 dots 9-point AF system (all cross-type) Wireless flash control, used",5500.0,0,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 1100D (Rebel T3) DSLR Gray body only, LCD not work, DIGIC 4, 2.7"" Clear View LCD, 720p HD Movie Mode 100-6400 ISO, Compatible with Canon EF and EF-S Lenses, 63 Zone Dual-Layer System, 9 Point AF, 3 fps Continuous JPEG and RAW images, used",2900.0,0,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon500D+28-80 เมนูไทย ใช้งานได้ปกติทุกระบบ,4800.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 100D World’s Smallest and Lightest DSLR Body Only, (Kiss X7 / Rebel SL1)  ISO 25600, Touch Autofocus, compatible with Canon's vast range of EF-S and EF lenses, Hybrid CMOS AF II' system 80% frame coverage, 3” ClearView II capacitive touch, used",5950.0,5,3,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon EOS 6D Mark II DSLR Camera,11500.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องมือสองถูก Canon 1100D canon1100d  แถมเม็ม แถมกระเป๋า,4200.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
"Canon PowerShot SX620 HS Wi-Fi NFC 20.2MP 25–625mm 100x Combined Zoom, Optical Image Stabilizer,  ideal for capturing memories of kids' achievements on the sporting field, recitals, plays, concerts, from landscapes, wildlife to city scenes and more, used",11880.0,0,0,False,Chonburi,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 8000D 760D Rebel T6s DSLR Camera Body Wi-Fi NFC 24.2MP, WiFi, Touchscreen, HDMI out, Clear View II, Full HD 1080p/60 Video & Movie Servo AF Hybrid CMOS AF III touch-screen vari-angle LCD, Touch Shutter feature 19 all cross-type AF points, used",9690.0,5,2,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon1000D+18-55 ใช้งานได้ปกติทุกระบบ,4800.0,0,1,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon Eos 7 (Body) มือสอง,4300.0,0,0,False,Samut Prakan,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
Canon Eos 6D Mark Ii 26.2Mp Digital Slr Camera Black Body Only,10000.0,0,0,False,Nakhon Sawan,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องส่งพระแท้Canon uitra 10X18 ดํา เจาะลึกคมชัดโฟกัสไว้เลนส์เคลือบมัลติโค๊ดตัดแสงสท้อนลุยได้ในทุกสนามมาพร้อมซองหนัง,380.0,48,16,False,Nonthaburi,"ราคาต่ำมาก, จำนวนการขายสูง แต่คำอธิบายสินค้าไม่ชัดเจน"
กล้องฟิล์ม canon​ t50 เทสแล้วใช้ได้ปกติ ช่องมองมีฝุ่นรา,390.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
กล้องcanon 700d+18-55mm/เมนูไทย,8350.0,0,1,False,Chanthaburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
กล้องมือสองถูก canon 700d canon700d แคนนอน,7490.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 500D DSLR Black Body, Rebel T1i, Kiss X3. Compatibility with all EF/EF-S lenses and Speedlite EX flashes, 3-inch (7.5 cm) Clear View LCD display, high-precision AF system uses 9 AF,  record Full HD (1080p) videos, ISO 12.800, RAW, 15.1MP, used",3988.0,6,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 1100D (Kiss X50 / Rebel T3) DSLR camera Red body, Compatible with ALL Canon EF and EF-S Lenses, 63 Zone Dual-Layer System, 9 Point AF, 3 fps Basic+, Quick Setting, and Creative Auto ISO 6400 12.2MP CMOS (APS-C) sensor, Canon's DIGIC 4, used",3500.0,0,2,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon 18-200 IS สภาพดี มีกันสั่น ไม่มีฝ่ารา ใช้งานได้ปกติทุกระบบ,5800.0,0,1,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
กล้องดิจิตอล canon 550D,4300.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
Canon ixus75/ixy90 superrare 💐รุ่น sabrina,5379.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องมือสองถูก canon 550d canon550d แคนนอน,6490.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
